bt.A.x START
[7l-dsk/total- ---paging-- ---load-avg--- ------memory-usage----- ---procs--- --io/total- ----swap--- ----system----
 read  writ|  in   out | 1m   5m  15m | used  buff  cach  free|run blk new| read  writ| used  free|     time     
   0     0 |   0     0 |0.91 0.59 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:42
   0     0 |   0     0 |0.92 0.60 0.33| 944M 12.0M 36.5M 62.0G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:45:43
   0     0 |   0     0 |0.92 0.60 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:44
   0     0 |   0     0 |0.92 0.60 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:45
   0     0 |   0     0 |0.92 0.60 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:46
   0     0 |   0     0 |0.92 0.60 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:47
   0     0 |   0     0 |0.92 0.60 0.34| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:48
   0     0 |   0     0 |0.92 0.60 0.34| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:49
   0     0 |   0     0 |0.92 0.60 0.34| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:50
   0     0 |   0     0 |0.92 0.60 0.34| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:51
   0     0 |   0     0 |0.92 0.60 0.34| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:52
   0    12k|   0     0 |0.93 0.61 0.34| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0  3.00 |  16M  984M|22-03 18:45:53
   0     0 |   0     0 |0.93 0.61 0.34| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:54
   0     0 |   0     0 |0.93 0.61 0.34| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:55
   0     0 |   0     0 |0.93 0.61 0.34| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:56
   0     0 |   0     0 |0.93 0.61 0.34| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:57
   0     0 |   0     0 |0.94 0.61 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:58
   0     0 |   0     0 |0.94 0.61 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:59
   0     0 |   0     0 |0.94 0.61 0.35| 944M 12.1M 36.5M 62.0G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:46:00
